timestamp,agent_name,run_id,rule_id,rule_level,rule_description,full_log
2026-05-14T22:55:46.377-0400,safesoc-lnx-01,S09-MAN-R001,100760,3,SafeAgentSOC run start marker observed,May 15 02:55:45 safesoc-lnx-01 safesoc-lnx-01[10033]: SAFESOC_RUN_START RUN_ID=S09-MAN-R001 host=safesoc-lnx-01
2026-05-14T22:55:46.377-0400,safesoc-lnx-01,S09-MAN-R001,100764,5,SafeAgentSOC S09 Linux discovery scenario marker,May 15 02:55:45 safesoc-lnx-01 safesoc-lnx-01[10035]: SAFESOC_S09_DISCOVERY RUN_ID=S09-MAN-R001 host=safesoc-lnx-01
2026-05-14T22:55:46.379-0400,safesoc-lnx-01,S09-MAN-R001,100761,3,SafeAgentSOC run end marker observed,May 15 02:55:45 safesoc-lnx-01 safesoc-lnx-01[10048]: SAFESOC_RUN_END RUN_ID=S09-MAN-R001 host=safesoc-lnx-01
2026-05-14T23:02:29.983-0400,safesoc-lnx-01,S09-MAN-R002,100764,5,SafeAgentSOC S09 Linux discovery scenario marker,2026-05-14T23:02:28.934832-04:00 safesoc-lnx-01 safesoc-lnx-01: SAFESOC_S09_DISCOVERY RUN_ID=S09-MAN-R002 host=safesoc-lnx-01
2026-05-14T23:02:29.983-0400,safesoc-lnx-01,S09-MAN-R002,100760,3,SafeAgentSOC run start marker observed,2026-05-14T23:02:28.928779-04:00 safesoc-lnx-01 safesoc-lnx-01: SAFESOC_RUN_START RUN_ID=S09-MAN-R002 host=safesoc-lnx-01
2026-05-14T23:02:29.997-0400,safesoc-lnx-01,S09-MAN-R002,100761,3,SafeAgentSOC run end marker observed,2026-05-14T23:02:29.035008-04:00 safesoc-lnx-01 safesoc-lnx-01: SAFESOC_RUN_END RUN_ID=S09-MAN-R002 host=safesoc-lnx-01
2026-05-14T23:02:30.498-0400,safesoc-lnx-01,S09-MAN-R002,100760,3,SafeAgentSOC run start marker observed,May 15 03:02:28 safesoc-lnx-01 safesoc-lnx-01[10213]: SAFESOC_RUN_START RUN_ID=S09-MAN-R002 host=safesoc-lnx-01
2026-05-14T23:02:30.498-0400,safesoc-lnx-01,S09-MAN-R002,100764,5,SafeAgentSOC S09 Linux discovery scenario marker,May 15 03:02:28 safesoc-lnx-01 safesoc-lnx-01[10215]: SAFESOC_S09_DISCOVERY RUN_ID=S09-MAN-R002 host=safesoc-lnx-01
2026-05-14T23:02:30.510-0400,safesoc-lnx-01,S09-MAN-R002,100761,3,SafeAgentSOC run end marker observed,May 15 03:02:29 safesoc-lnx-01 safesoc-lnx-01[10227]: SAFESOC_RUN_END RUN_ID=S09-MAN-R002 host=safesoc-lnx-01
2026-05-14T23:04:14.036-0400,safesoc-lnx-01,S10-MAN-R001,100760,3,SafeAgentSOC run start marker observed,2026-05-14T23:04:13.548945-04:00 safesoc-lnx-01 safesoc-lnx-01: SAFESOC_RUN_START RUN_ID=S10-MAN-R001 host=safesoc-lnx-01
2026-05-14T23:04:14.040-0400,safesoc-lnx-01,S10-MAN-R001,100765,7,SafeAgentSOC S10 Linux cron marker scenario,2026-05-14T23:04:13.555438-04:00 safesoc-lnx-01 safesoc-lnx-01: SAFESOC_S10_CRON_MARKER RUN_ID=S10-MAN-R001 host=safesoc-lnx-01
2026-05-14T23:04:14.044-0400,safesoc-lnx-01,S10-MAN-R001,100761,3,SafeAgentSOC run end marker observed,2026-05-14T23:04:13.619463-04:00 safesoc-lnx-01 safesoc-lnx-01: SAFESOC_RUN_END RUN_ID=S10-MAN-R001 host=safesoc-lnx-01
2026-05-14T23:04:14.541-0400,safesoc-lnx-01,S10-MAN-R001,100760,3,SafeAgentSOC run start marker observed,May 15 03:04:13 safesoc-lnx-01 safesoc-lnx-01[10250]: SAFESOC_RUN_START RUN_ID=S10-MAN-R001 host=safesoc-lnx-01
2026-05-14T23:04:14.541-0400,safesoc-lnx-01,S10-MAN-R001,100765,7,SafeAgentSOC S10 Linux cron marker scenario,May 15 03:04:13 safesoc-lnx-01 safesoc-lnx-01[10253]: SAFESOC_S10_CRON_MARKER RUN_ID=S10-MAN-R001 host=safesoc-lnx-01
2026-05-14T23:04:14.576-0400,safesoc-lnx-01,S10-MAN-R001,100761,3,SafeAgentSOC run end marker observed,May 15 03:04:13 safesoc-lnx-01 safesoc-lnx-01[10272]: SAFESOC_RUN_END RUN_ID=S10-MAN-R001 host=safesoc-lnx-01
2026-05-14T23:07:20.595-0400,safesoc-lnx-01,S10-MAN-R002,100760,3,SafeAgentSOC run start marker observed,May 15 03:07:20 safesoc-lnx-01 safesoc-lnx-01[10307]: SAFESOC_RUN_START RUN_ID=S10-MAN-R002 host=safesoc-lnx-01
