field,present_count,present_percent,missing_count,missing_percent
data.win.system.level,488,7.08,6405,92.92
data.win.system.task,488,7.08,6405,92.92
data.win.system.opcode,488,7.08,6405,92.92
data.win.system.keywords,488,7.08,6405,92.92
data.win.system.systemTime,488,7.08,6405,92.92
data.win.system.eventRecordID,488,7.08,6405,92.92
data.win.system.processID,488,7.08,6405,92.92
data.win.system.threadID,488,7.08,6405,92.92
data.win.system.channel,488,7.08,6405,92.92
data.win.system.computer,488,7.08,6405,92.92
data.win.system.severityValue,488,7.08,6405,92.92
data.win.system.message,488,7.08,6405,92.92
data.win.system.providerGuid,486,7.05,6407,92.95
data.sca.check.command,481,6.98,6412,93.02
data.sca.check.command[],481,6.98,6412,93.02
syscheck.inode_before,472,6.85,6421,93.15
data.dstuser,455,6.60,6438,93.40
predecoder.hostname,446,6.47,6447,93.53
data.sca.check.registry,443,6.43,6450,93.57
data.sca.check.registry[],443,6.43,6450,93.57
data.win.eventdata.processId,402,5.83,6491,94.17
data.win.eventdata.logonGuid,398,5.77,6495,94.23
data.win.eventdata.utcTime,390,5.66,6503,94.34
data.win.eventdata.processGuid,390,5.66,6503,94.34
data.win.eventdata.image,390,5.66,6503,94.34
data.win.eventdata.fileVersion,390,5.66,6503,94.34
data.win.eventdata.description,390,5.66,6503,94.34
data.win.eventdata.product,390,5.66,6503,94.34
data.win.eventdata.company,390,5.66,6503,94.34
data.win.eventdata.originalFileName,390,5.66,6503,94.34
data.win.eventdata.commandLine,390,5.66,6503,94.34
data.win.eventdata.currentDirectory,390,5.66,6503,94.34
data.win.eventdata.user,390,5.66,6503,94.34
data.win.eventdata.logonId,390,5.66,6503,94.34
data.win.eventdata.terminalSessionId,390,5.66,6503,94.34
data.win.eventdata.integrityLevel,390,5.66,6503,94.34
data.win.eventdata.hashes,390,5.66,6503,94.34
data.win.eventdata.parentProcessGuid,390,5.66,6503,94.34
data.win.eventdata.parentProcessId,390,5.66,6503,94.34
data.win.eventdata.parentImage,390,5.66,6503,94.34
data.win.eventdata.parentCommandLine,390,5.66,6503,94.34
data.win.eventdata.parentUser,390,5.66,6503,94.34
syscheck.md5_before,378,5.48,6515,94.52
syscheck.sha1_before,378,5.48,6515,94.52
syscheck.sha256_before,378,5.48,6515,94.52
data.sca.check.references,313,4.54,6580,95.46
data.sca.check.compliance.hipaa,305,4.42,6588,95.58
data.srcuser,301,4.37,6592,95.63
data.uid,170,2.47,6723,97.53
data.sca.check.file,170,2.47,6723,97.53
data.sca.check.file[],170,2.47,6723,97.53
data.tty,146,2.12,6747,97.88
decoder.ftscomment,130,1.89,6763,98.11
data.pwd,130,1.89,6763,98.11
data.command,130,1.89,6763,98.11
data.sca.check.reason,115,1.67,6778,98.33
data.audit.type,106,1.54,6787,98.46
data.audit.id,106,1.54,6787,98.46
data.audit.execve.argc,103,1.49,6790,98.51
data.audit.execve.a0,103,1.49,6790,98.51
data.audit.execve.a1,103,1.49,6790,98.51
data.audit.cwd,101,1.47,6792,98.53
data.audit.file.name,99,1.44,6794,98.56
data.audit.file.inode,99,1.44,6794,98.56
data.audit.file.mode,99,1.44,6794,98.56
data.sca.check.directory,98,1.42,6795,98.58
data.sca.check.directory[],98,1.42,6795,98.58
data.audit.pid,70,1.02,6823,98.98
data.audit.auid,70,1.02,6823,98.98
data.audit.uid,70,1.02,6823,98.98
data.audit.gid,70,1.02,6823,98.98
data.audit.euid,70,1.02,6823,98.98
data.audit.session,70,1.02,6823,98.98
data.audit.command,70,1.02,6823,98.98
data.audit.exe,70,1.02,6823,98.98
data.audit.arch,67,0.97,6826,99.03
data.audit.syscall,67,0.97,6826,99.03
data.audit.success,67,0.97,6826,99.03
data.audit.exit,67,0.97,6826,99.03
data.audit.ppid,67,0.97,6826,99.03
data.audit.suid,67,0.97,6826,99.03
data.audit.fsuid,67,0.97,6826,99.03
data.audit.egid,67,0.97,6826,99.03
data.audit.sgid,67,0.97,6826,99.03
data.audit.fsgid,67,0.97,6826,99.03
data.audit.tty,67,0.97,6826,99.03
data.audit.key,67,0.97,6826,99.03
data.win.system.eventSourceName,62,0.90,6831,99.10
syscheck.arch,56,0.81,6837,99.19
data.sca.check.previous_result,52,0.75,6841,99.25
data.srcip,42,0.61,6851,99.39
data.extra_data,41,0.59,6852,99.41
data.win.eventdata.data,36,0.52,6857,99.48
syscheck.size_before,29,0.42,6864,99.58
syscheck.win_perm_after,28,0.41,6865,99.59
syscheck.win_perm_after[].name,28,0.41,6865,99.59
syscheck.win_perm_after[].allowed,28,0.41,6865,99.59
syscheck.win_perm_after[].allowed[],28,0.41,6865,99.59
syscheck.value_name,28,0.41,6865,99.59
syscheck.value_type,28,0.41,6865,99.59
data.status,24,0.35,6869,99.65
data.srcport,20,0.29,6873,99.71
data.win.eventdata.param1,20,0.29,6873,99.71
data.win.eventdata.param2,20,0.29,6873,99.71
data.win.eventdata.param3,20,0.29,6873,99.71
data.win.eventdata.param4,20,0.29,6873,99.71
rule.info,19,0.28,6874,99.72
data.win.eventdata.targetUserSid,18,0.26,6875,99.74
data.win.eventdata.targetUserName,18,0.26,6875,99.74
data.win.eventdata.targetDomainName,18,0.26,6875,99.74
data.win.eventdata.logonType,17,0.25,6876,99.75
data.win.eventdata.subjectUserSid,16,0.23,6877,99.77
data.win.eventdata.subjectUserName,16,0.23,6877,99.77
data.win.eventdata.subjectDomainName,16,0.23,6877,99.77
data.win.eventdata.subjectLogonId,16,0.23,6877,99.77
