field,type,count,percent
data.win.eventdata.failureReason,string,3,0.04
data.win.eventdata.fileVersion,string,390,5.66
data.win.eventdata.hashedBucket,string,2,0.03
data.win.eventdata.hashes,string,390,5.66
data.win.eventdata.image,string,390,5.66
data.win.eventdata.imagePath,string,4,0.06
data.win.eventdata.impersonationLevel,string,8,0.12
data.win.eventdata.integrityLevel,string,390,5.66
data.win.eventdata.ipAddress,string,11,0.16
data.win.eventdata.ipPort,string,11,0.16
data.win.eventdata.keyLength,string,11,0.16
data.win.eventdata.logonGuid,string,398,5.77
data.win.eventdata.logonId,string,390,5.66
data.win.eventdata.logonProcessName,string,11,0.16
data.win.eventdata.logonType,string,17,0.25
data.win.eventdata.messageText,string,2,0.03
data.win.eventdata.method,string,2,0.03
data.win.eventdata.new Value,string,1,0.01
data.win.eventdata.newTime,string,1,0.01
data.win.eventdata.old Value,string,1,0.01
data.win.eventdata.origin ID,string,5,0.07
data.win.eventdata.origin Name,string,5,0.07
data.win.eventdata.originalFileName,string,390,5.66
data.win.eventdata.p1,string,4,0.06
data.win.eventdata.p2,string,4,0.06
data.win.eventdata.p3,string,4,0.06
data.win.eventdata.p4,string,4,0.06
data.win.eventdata.p5,string,2,0.03
data.win.eventdata.p6,string,2,0.03
data.win.eventdata.param1,string,20,0.29
data.win.eventdata.param2,string,20,0.29
data.win.eventdata.param3,string,20,0.29
data.win.eventdata.param4,string,20,0.29
data.win.eventdata.param5,string,1,0.01
data.win.eventdata.param7,string,1,0.01
data.win.eventdata.parentCommandLine,string,390,5.66
data.win.eventdata.parentImage,string,390,5.66
data.win.eventdata.parentProcessGuid,string,390,5.66
data.win.eventdata.parentProcessId,string,390,5.66
data.win.eventdata.parentUser,string,390,5.66
data.win.eventdata.path,string,5,0.07
data.win.eventdata.post Clean Status,string,5,0.07
data.win.eventdata.pre Execution Status,string,5,0.07
data.win.eventdata.previousTime,string,1,0.01
data.win.eventdata.privilegeList,string,4,0.06
data.win.eventdata.process Name,string,5,0.07
data.win.eventdata.processGuid,string,390,5.66
data.win.eventdata.processId,string,402,5.83
data.win.eventdata.processName,string,12,0.17
data.win.eventdata.product,string,390,5.66
data.win.eventdata.product Name,string,6,0.09
data.win.eventdata.product Version,string,6,0.09
data.win.eventdata.rechecking,string,4,0.06
data.win.eventdata.remediation User,string,2,0.03
data.win.eventdata.reportId,string,4,0.06
data.win.eventdata.reportStatus,string,4,0.06
data.win.eventdata.response,string,4,0.06
data.win.eventdata.security intelligence Version,string,5,0.07
data.win.eventdata.serviceGuid,string,1,0.01
data.win.eventdata.serviceName,string,4,0.06
data.win.eventdata.serviceType,string,4,0.06
data.win.eventdata.severity ID,string,5,0.07
data.win.eventdata.severity Name,string,5,0.07
data.win.eventdata.source ID,string,5,0.07
data.win.eventdata.source Name,string,5,0.07
data.win.eventdata.stage,string,2,0.03
data.win.eventdata.startType,string,4,0.06
data.win.eventdata.state,string,5,0.07
data.win.eventdata.status,string,3,0.04
data.win.eventdata.status Code,string,5,0.07
data.win.eventdata.storePath,string,4,0.06
data.win.eventdata.subStatus,string,3,0.04
data.win.eventdata.subjectDomainName,string,16,0.23
data.win.eventdata.subjectLogonId,string,16,0.23
data.win.eventdata.subjectUserName,string,16,0.23
data.win.eventdata.subjectUserSid,string,16,0.23
data.win.eventdata.targetDomainName,string,18,0.26
data.win.eventdata.targetLinkedLogonId,string,8,0.12
data.win.eventdata.targetLogonId,string,15,0.22
data.win.eventdata.targetUserName,string,18,0.26
data.win.eventdata.targetUserSid,string,18,0.26
data.win.eventdata.terminalSessionId,string,390,5.66
data.win.eventdata.threat ID,string,5,0.07
data.win.eventdata.threat Name,string,5,0.07
data.win.eventdata.type ID,string,5,0.07
data.win.eventdata.type Name,string,5,0.07
data.win.eventdata.updateGuid,string,1,0.01
data.win.eventdata.updateRevisionNumber,string,1,0.01
data.win.eventdata.updateTitle,string,1,0.01
